date	Alaska	American	Delta	JetBlue	Southwest	Spirit	United	Virgin
20170101	584.05	4109.15	4106.68	1955.58	5959.4	351.87	2720.11	320.12
20170201	579.46	2822.17	2139.48	1590.47	3566.65	405.77	1924.41	193
20170301	665.62	4149.15	3048.96	1989.07	5107.38	649.47	2275.15	288.74
20170401	576.58	3960.29	4693.46	1898.59	5428.4	603.28	1876.22	226.9
20170501	547.12	3991.76	4105.97	2257.68	6482.28	694.64	1883.14	371.29
20170601	616.12	5036.71	4108.19	2567.12	7917.66	739.67	2412.09	423.85
20170701	615.2	5501.48	4467.51	2677.43	7834.65	322.78	2503.2	269.94
20170801	601.84	4716.71	3383.88	2437.11	8555.61	441.61	2238.87	322.48
20170901	501.46	3053.86	2435.96	1424.02	4481.91	517.22	1402.94	243.97
20171001	489.67	3533.91	2840.21	1294.05	5113.6	348.4	1613.06	275.69
20171101	482.84	2814.68	1810.87	1114.65	4530.07	330.23	1344.13	256.68